ADM_EN,placeCode,ParentPcode,Climate_Region,Climate_Region_code
Quthing,LSG,LS,National_OM,1
Mohale's Hoek,LSF,LS,National_OM,1
Qacha's Nek,LSH,LS,National_OM,1
Mafeteng,LSE,LS,National_OM,1
Maseru,LSA,LS,National_OM,1
Thaba-Tseka,LSK,LS,National_OM,1
Mokhotlong,LSJ,LS,National_OM,1
Berea,LSD,LS,National_OM,1
Leribe,LSC,LS,National_OM,1
Butha-Buthe,LSB,LS,National_OM,1
